,kid_score,mom_hs,mom_iq,mom_work,mom_age
317,94,1,95.51233116,2,23
318,90,1,84.77195047,2,24
319,72,1,100.7474323,1,19
320,92,1,87.00344812,1,26
321,75,0,77.85875513,4,23
322,83,1,85.30189315,4,20
323,64,1,92.77020117,1,18
324,101,1,74.86072998,4,25
325,82,1,115.2485841,4,19
326,77,1,107.3725272,4,22
327,101,1,102.2029829,4,27
328,50,1,97.91159031,4,20
329,90,1,96.85662413,4,21
330,103,1,111.4656749,2,19
331,96,1,109.4663213,3,21
332,50,1,82.25001104,4,24
333,47,1,92.77020117,4,18
334,73,1,115.5688303,2,22
335,62,0,84.04458746,4,22
336,77,1,116.1993152,4,22
337,64,1,99.2952403,4,23
338,52,1,87.19334773,2,20
339,61,1,76.71176886,4,28
340,86,1,80.69859954,2,26
341,41,0,82.46337146,1,19
342,83,1,85.1798917,4,27
343,64,1,93.07371498,4,21
344,83,1,88.57699772,4,23
345,116,1,103.0560113,4,24
346,100,0,86.87676547,3,19
347,42,0,97.91525433,4,22
348,74,1,120.9229478,4,19
349,76,1,91.72942201,4,23
350,92,1,87.50725033,4,19
351,98,1,90.44631419,4,24
352,96,1,84.16360371,3,23
353,67,1,96.65428461,4,22
354,84,1,95.70355348,2,19
355,111,1,88.76822004,4,19
356,41,0,92.13971631,1,18
357,68,1,108.0030121,3,22
358,107,1,80.38935225,3,29
359,82,0,99.80304488,4,20
360,89,1,90.02918976,4,19
361,83,1,93.93878156,4,26
362,73,1,103.7086343,4,23
363,74,1,77.10925402,4,22
364,94,1,117.5571631,2,24
365,58,1,79.83353296,2,21
366,76,1,83.61644211,2,21
367,61,1,88.73139685,4,25
368,38,1,82.78361774,4,22
369,100,1,86.87676547,4,19
370,84,1,88.73139685,4,25
371,99,1,92.24089061,4,22
372,86,1,90.55177555,1,21
373,94,1,84.14146561,4,24
374,90,1,93.07371498,2,21
375,50,0,85.83486773,2,18
376,112,1,98.85597777,4,19
377,58,1,95.51233116,2,23
378,87,1,101.0676786,2,22
379,76,1,85.93237801,1,20
380,68,1,82.78361774,2,22
381,110,1,98.66475544,2,23
382,88,0,82.14946886,3,20
383,87,0,85.61579575,1,19
384,54,0,79.43762983,1,26
385,49,0,75.3368157,1,23
386,56,1,80.89216317,2,22
387,79,1,115.7711699,3,21
388,82,1,97.159104,4,27
389,80,0,80.89216317,1,22
390,60,1,79.50552798,4,27
391,102,1,98.01213248,4,24
392,87,1,108.8664966,4,28
393,42,0,80.69859954,4,26
394,119,1,100.7474323,4,19
395,84,1,91.09893715,4,23
396,86,1,82.98595725,1,21
397,113,1,89.71528716,4,20
398,72,1,131.0107055,4,19
399,104,1,124.5146346,4,23
400,94,1,91.61040575,4,22
401,78,0,92.99039172,1,23
402,80,0,91.88382114,1,25
403,67,0,88.69098116,1,28
404,104,1,126.0935093,3,26
405,96,0,84.98531089,3,19
406,65,0,82.98595725,1,21
407,64,1,101.7950416,3,24
408,95,1,100.2436301,2,26
409,56,1,110.0134829,4,23
410,75,0,88.57699772,2,23
411,91,1,106.7420423,3,22
412,106,1,95.2921406,2,18
413,76,1,108.3132506,1,19
414,90,1,110.3313879,3,26
415,108,1,116.8298001,4,22
416,86,0,86.68554314,1,23
417,85,1,96.85662413,2,21
418,104,0,90.24826174,1,18
419,87,1,89.29080583,4,21
420,41,0,74.23024512,1,25
421,106,0,91.88382114,4,25
422,76,0,96.46072099,3,26
423,100,0,97.40378573,4,23
424,89,1,131.5332913,4,21
425,42,1,78.24455827,2,27
426,102,1,127.6757166,4,29
427,104,1,124.5146346,4,23
428,59,0,80.46401782,4,21
429,93,0,74.86072998,2,25
430,94,0,84.87741183,4,21
431,76,1,92.99039172,4,23
432,50,0,94.85970819,2,24
433,88,1,96.85662413,2,21
434,70,1,91.25333628,2,25
